customerkey,customername,age,maritalstatus,gender,datefirstpurchase,city,stateprovincename,englishcountryregionname
11000,Jon V Yang,51,M,M,1/19/2020,Rockhampton,Queensland,Australia
11001,Eugene L Huang,46,S,M,1/15/2020,Seaford,Victoria,Australia
11002,Ruben Torres,52,M,M,01-07-2020,Hobart,Tasmania,Australia
11003,Christy Zhu,49,S,F,12/29/2019,North Ryde,New South Wales,Australia
11004,Elizabeth Johnson,43,S,F,1/23/2020,Wollongong,New South Wales,Australia
11005,Julio Ruiz,46,S,M,12/30/2019,East Brisbane,Queensland,Australia
11006,Janet G Alvarez,46,S,F,1/24/2020,Matraville,New South Wales,Australia
11007,Marco Mehta,53,M,M,01-09-2020,Warrnambool,Victoria,Australia
11008,Rob Verhoff,47,S,F,1/25/2020,Bendigo,Victoria,Australia
11009,Shannon C Carlson,53,S,M,1/27/2020,Hervey Bay,Queensland,Australia
11010,Jacquelyn C Suarez,53,S,F,1/14/2020,East Brisbane,Queensland,Australia
11011,Curtis Lu,54,M,M,12/30/2019,East Brisbane,Queensland,Australia
11012,Lauren M Walker,44,M,F,3/16/2022,Bremerton,Washington,United States
11013,Ian M Jenkins,43,M,M,4/13/2022,Lebanon,Oregon,United States
11014,Sydney Bennett,49,S,F,3/23/2022,Redmond,Washington,United States
11015,Chloe Young,38,S,F,1/18/2022,Burbank,California,United States
11016,Wyatt L Hill,38,M,M,02-09-2022,Imperial Beach,California,United States
11017,Shannon Wang,73,S,F,01-12-2020,Sunbury,Victoria,Australia
11018,Clarence D Rai,67,S,M,1/17/2020,Bendigo,Victoria,Australia
11019,Luke L Lal,39,S,M,02-12-2022,Langley,British Columbia,Canada
11020,Jordan C King,39,S,M,12/29/2021,Metchosin,British Columbia,Canada
11021,Destiny Wilson,39,S,F,1/23/2022,Beaverton,Oregon,United States
11022,Ethan G Zhang,39,M,M,1/20/2022,Bellingham,Washington,United States
11023,Seth M Edwards,39,M,M,2/17/2022,Bellflower,California,United States
11024,Russell Xie,39,M,M,6/27/2022,Concord,California,United States
11025,Alejandro Beck,71,M,M,01-06-2020,Hawthorne,Queensland,Australia
11026,Harold Sai,71,S,M,1/23/2020,Goulburn,New South Wales,Australia
11027,Jessie R Zhao,70,M,M,1/16/2020,Warrnambool,Victoria,Australia
11028,Jill Jimenez,71,M,F,1/26/2020,St. Leonards,New South Wales,Australia
11029,Jimmy L Moreno,70,M,M,1/19/2020,Bendigo,Victoria,Australia
11030,Bethany G Yuan,65,M,F,02-05-2020,Cloverdale,South Australia,Australia
11031,Theresa G Ramos,70,M,F,02-01-2020,Matraville,New South Wales,Australia
11032,Denise Stone,70,M,F,2/18/2020,Melbourne,Victoria,Australia
11033,Jaime Nath,64,M,M,2/15/2020,Milsons Point,New South Wales,Australia
11034,Ebony Gonzalez,70,M,F,02-01-2020,North Sydney,New South Wales,Australia
11035,Wendy Dominguez,69,M,F,02-06-2020,Cranbourne,Victoria,Australia
11036,Jennifer C Russell,38,M,F,1/22/2022,National City,California,United States
11037,Chloe M Garcia,39,S,F,1/20/2022,Cliffside,British Columbia,Canada
11038,Diana F Hernandez,69,M,F,02-07-2020,Lavender Bay,New South Wales,Australia
11039,Marc J Martin,68,M,M,02-07-2020,Wollongong,New South Wales,Australia
11040,Jesse Murphy,40,M,M,04-03-2022,Tacoma,Washington,United States
11041,Amanda M Carter,40,M,F,1/14/2022,Glendale,California,United States
11042,Megan J Sanchez,40,M,F,1/21/2022,Los Angeles,California,United States
11043,Nathan M Simmons,41,M,M,05-08-2022,Glendale,California,United States
11044,Adam L Flores,68,M,M,2/28/2020,Hervey Bay,Queensland,Australia
11045,Leonard G Nara,67,S,M,04-10-2022,Matraville,New South Wales,Australia
11046,Christine Yuan,67,M,F,02-06-2020,Lavender Bay,New South Wales,Australia
11047,Jaclyn D Lu,67,M,F,02-03-2020,Geelong,Victoria,Australia
11048,Jeremy Powell,66,M,M,02-10-2020,Sunbury,Victoria,Australia
11049,Carol C Rai,37,S,F,03-09-2022,Chula Vista,California,United States
11050,Alan Zheng,66,M,M,2/20/2020,Hobart,Tasmania,Australia
11051,Daniel Johnson,66,S,M,12/29/2022,Caloundra,Queensland,Australia
11052,Heidi Lopez,66,S,F,2/17/2020,Matraville,New South Wales,Australia
11053,Ana E Price,37,M,F,1/17/2022,San Diego,California,United States
11054,Deanna Munoz,65,M,F,02-03-2020,Geelong,Victoria,Australia
11055,Gilbert Raje,65,M,M,1/31/2020,East Brisbane,Queensland,Australia
11056,Michele L Nath,64,M,F,2/26/2020,Newcastle,New South Wales,Australia
11057,Carl J Andersen,53,M,M,2/22/2020,Lane Cove,New South Wales,Australia
11058,Marc Diaz,58,M,M,03-09-2020,Findon,South Australia,Australia
11059,Ashlee J Andersen,63,S,F,2/18/2022,Townsville,Queensland,Australia
11060,Jon L Zhou,63,M,M,3/19/2020,Warrnambool,Victoria,Australia
11061,Todd M Gao,47,M,M,3/13/2020,Gold Coast,Queensland,Australia
11062,Noah D Powell,42,M,M,01-07-2022,Portland,Oregon,United States
11063,Angela Murphy,42,S,F,01-12-2022,Redmond,Washington,United States
11064,Chase Reed,41,M,M,1/25/2022,Downey,California,United States
11065,Jessica Henderson,44,M,F,02-10-2022,La Jolla,California,United States
11066,Grace T Butler,43,M,F,5/31/2022,Lebanon,Oregon,United States
11067,Caleb F Carter,41,S,M,8/18/2022,Port Orchard,Washington,United States
11068,Tiffany Liang,56,S,F,4/30/2022,Warrnambool,Victoria,Australia
11069,Carolyn Navarro,56,S,F,4/17/2020,Gold Coast,Queensland,Australia
11070,Willie T Raji,62,M,M,4/28/2020,Sunbury,Victoria,Australia
11071,Linda Serrano,62,S,F,03-01-2022,Hawthorne,Queensland,Australia
11072,Casey Luo,62,S,F,3/31/2020,St. Leonards,New South Wales,Australia
11073,Amy Ye,61,S,F,3/23/2022,Springwood,New South Wales,Australia
11074,Levi A Arun,61,S,M,3/23/2022,Cloverdale,South Australia,Australia
11075,Felicia L Jimenez,59,S,F,4/28/2020,Bendigo,Victoria,Australia
11076,Blake Anderson,60,S,M,4/21/2020,Wollongong,New South Wales,Australia
11077,Leah Ye,60,S,F,4/15/2020,Melton,Victoria,Australia
